data	data	281560	182424	668280	835836	340972	390904	407792	173656	196264	201268	141656	89264	180452	128900	170956	137304	86272	58940	267984	372688	66272	95856	360500	450996	76124	154012	127708	152748	288848	125692	125748	146088	126444	212088	410676	419252	352260	456708	270384	272120	118248	218072	576988	649724	305908	409804	404344	539920	419696	300972	384144	76908	184280	74696	349412	350708	264056	189292	241340	265164	205808	136140	100504	150260	128756	104224	563312	670720	124372	82624	362088	609704	749888	743580	171780	227892	748432	747692	36916	34004	154288	190472	226204	136152	335712	187004	74548	103292	249364	173952	674204	582120	431568	615932	379992	352776	444692	208860	646228	699776	372564	180140	538648	738732	364892	308924	196324	148024	397216	299084	209464	640508	1.01698e+06	577880	301836	427624	
data	data	sub-C013_preop3T_AAL_2001	sub-C013_preop3T_AAL_2002	sub-C013_preop3T_AAL_2101	sub-C013_preop3T_AAL_2102	sub-C013_preop3T_AAL_2111	sub-C013_preop3T_AAL_2112	sub-C013_preop3T_AAL_2201	sub-C013_preop3T_AAL_2202	sub-C013_preop3T_AAL_2211	sub-C013_preop3T_AAL_2212	sub-C013_preop3T_AAL_2301	sub-C013_preop3T_AAL_2302	sub-C013_preop3T_AAL_2311	sub-C013_preop3T_AAL_2312	sub-C013_preop3T_AAL_2321	sub-C013_preop3T_AAL_2322	sub-C013_preop3T_AAL_2331	sub-C013_preop3T_AAL_2332	sub-C013_preop3T_AAL_2401	sub-C013_preop3T_AAL_2402	sub-C013_preop3T_AAL_2501	sub-C013_preop3T_AAL_2502	sub-C013_preop3T_AAL_2601	sub-C013_preop3T_AAL_2602	sub-C013_preop3T_AAL_2611	sub-C013_preop3T_AAL_2612	sub-C013_preop3T_AAL_2701	sub-C013_preop3T_AAL_2702	sub-C013_preop3T_AAL_3001	sub-C013_preop3T_AAL_3002	sub-C013_preop3T_AAL_4001	sub-C013_preop3T_AAL_4002	sub-C013_preop3T_AAL_4011	sub-C013_preop3T_AAL_4012	sub-C013_preop3T_AAL_4021	sub-C013_preop3T_AAL_4022	sub-C013_preop3T_AAL_4101	sub-C013_preop3T_AAL_4102	sub-C013_preop3T_AAL_4111	sub-C013_preop3T_AAL_4112	sub-C013_preop3T_AAL_4201	sub-C013_preop3T_AAL_4202	sub-C013_preop3T_AAL_5001	sub-C013_preop3T_AAL_5002	sub-C013_preop3T_AAL_5011	sub-C013_preop3T_AAL_5012	sub-C013_preop3T_AAL_5021	sub-C013_preop3T_AAL_5022	sub-C013_preop3T_AAL_5101	sub-C013_preop3T_AAL_5102	sub-C013_preop3T_AAL_5201	sub-C013_preop3T_AAL_5202	sub-C013_preop3T_AAL_5301	sub-C013_preop3T_AAL_5302	sub-C013_preop3T_AAL_5401	sub-C013_preop3T_AAL_5402	sub-C013_preop3T_AAL_6001	sub-C013_preop3T_AAL_6002	sub-C013_preop3T_AAL_6101	sub-C013_preop3T_AAL_6102	sub-C013_preop3T_AAL_6201	sub-C013_preop3T_AAL_6202	sub-C013_preop3T_AAL_6211	sub-C013_preop3T_AAL_6212	sub-C013_preop3T_AAL_6221	sub-C013_preop3T_AAL_6222	sub-C013_preop3T_AAL_6301	sub-C013_preop3T_AAL_6302	sub-C013_preop3T_AAL_6401	sub-C013_preop3T_AAL_6402	sub-C013_preop3T_AAL_7001	sub-C013_preop3T_AAL_7002	sub-C013_preop3T_AAL_7011	sub-C013_preop3T_AAL_7012	sub-C013_preop3T_AAL_7021	sub-C013_preop3T_AAL_7022	sub-C013_preop3T_AAL_7101	sub-C013_preop3T_AAL_7102	sub-C013_preop3T_AAL_8101	sub-C013_preop3T_AAL_8102	sub-C013_preop3T_AAL_8111	sub-C013_preop3T_AAL_8112	sub-C013_preop3T_AAL_8121	sub-C013_preop3T_AAL_8122	sub-C013_preop3T_AAL_8201	sub-C013_preop3T_AAL_8202	sub-C013_preop3T_AAL_8211	sub-C013_preop3T_AAL_8212	sub-C013_preop3T_AAL_8301	sub-C013_preop3T_AAL_8302	sub-C013_preop3T_AAL_9001	sub-C013_preop3T_AAL_9002	sub-C013_preop3T_AAL_9011	sub-C013_preop3T_AAL_9012	sub-C013_preop3T_AAL_9021	sub-C013_preop3T_AAL_9022	sub-C013_preop3T_AAL_9031	sub-C013_preop3T_AAL_9032	sub-C013_preop3T_AAL_9041	sub-C013_preop3T_AAL_9042	sub-C013_preop3T_AAL_9051	sub-C013_preop3T_AAL_9052	sub-C013_preop3T_AAL_9061	sub-C013_preop3T_AAL_9062	sub-C013_preop3T_AAL_9071	sub-C013_preop3T_AAL_9072	sub-C013_preop3T_AAL_9081	sub-C013_preop3T_AAL_9082	sub-C013_preop3T_AAL_9100	sub-C013_preop3T_AAL_9110	sub-C013_preop3T_AAL_9120	sub-C013_preop3T_AAL_9130	sub-C013_preop3T_AAL_9140	sub-C013_preop3T_AAL_9150	sub-C013_preop3T_AAL_9160	sub-C013_preop3T_AAL_9170	
281560	sub-C013_preop3T_AAL_2001	0	178	8140	182	96	4	18074	0	318	2	12800	0	6974	0	64	0	7232	0	6184	544	60	0	136	50	4	2	18	2	1236	0	10	0	4	164	6	8	70	20	304	8	206	6	98	10	140	22	122	26	410	10	266	0	120	0	38	20	18952	12	264	12	9736	2	4008	0	4482	2	186	20	4282	44	698	190	5996	24	458	20	9880	430	44	0	584	0	1438	0	3766	0	402	4	2258	2	516	504	264	220	1050	448	180	50	368	528	112	48	322	358	988	138	118	22	376	162	58	174	520	280	202	190	
182424	sub-C013_preop3T_AAL_2002	178	0	216	8428	16	154	32	10166	4	90	0	5124	0	746	0	44	0	1536	808	3402	2	8	102	796	0	12	12	18	0	60	0	0	298	240	8	8	20	26	34	16	2	6	36	102	6	176	28	160	6	94	18	0	14	8	34	44	12	13802	18	2880	0	3616	0	1342	2	1338	226	160	780	4138	596	1464	74	6252	10	2808	916	7756	0	18	0	20	2	16	0	42	0	0	10	48	204	344	76	288	184	706	362	374	400	788	50	36	90	644	188	256	52	38	768	322	162	702	674	422	576	822	
668280	sub-C013_preop3T_AAL_2101	8140	216	0	24702	4598	2348	47540	214	2154	152	2150	4	5486	16	1630	4	276	2	25812	6374	74	42	45674	16878	480	1210	40	30	9888	0	3836	4898	5300	1514	1682	200	882	222	666	64	264	92	2494	140	1236	146	4160	116	3078	64	3148	0	922	2	1350	66	2500	18	1600	24	1092	4	14	4	1674	4	3946	234	782	32	4018	656	27542	630	3146	122	15218	824	2	2	138	6	1240	6	1944	12	1302	2	382	18	2242	548	580	400	4034	488	1434	194	2208	602	320	52	910	516	1990	268	288	70	724	344	464	640	1812	644	286	268	
835836	sub-C013_preop3T_AAL_2102	182	8428	24702	0	1836	11248	8432	26924	250	686	0	1968	62	3344	74	658	0	24	8306	43194	202	560	23526	63024	1876	6016	436	268	126	254	5072	10890	768	5896	604	1644	232	1220	166	684	70	136	1572	4590	228	3252	240	3880	432	1784	448	166	144	418	354	938	178	2270	152	2304	68	638	0	1240	106	836	556	4860	424	334	1946	13024	2114	27538	322	5850	4072	24298	0	10	0	268	16	20	54	3000	48	122	40	2888	1158	1054	456	1160	1312	2240	1310	558	1574	2238	376	104	624	2076	624	1734	220	196	3308	1296	570	2262	3016	2010	1338	3074	
340972	sub-C013_preop3T_AAL_2111	96	16	4598	1836	0	4982	2124	10	19426	1960	10	0	398	56	10352	200	0	0	68	40	1390	2204	2000	2042	5476	5258	10070	3640	3350	12	60	332	10	8	268	682	5126	2856	3036	584	2950	1500	2508	50	268	36	4218	188	398	16	532	0	218	4	604	102	1214	12	704	52	350	0	0	0	290	4	232	116	4	4	11922	6522	23100	4084	3236	724	3892	438	0	2	6	10	2512	46	556	0	322	88	848	0	24	20	14	14	54	166	18	26	114	42	6	0	44	26	72	30	10	4	92	52	30	40	50	46	20	14	
390904	sub-C013_preop3T_AAL_2112	4	154	2348	11248	4982	0	538	872	2212	16052	0	0	112	120	572	3716	0	0	10	40	320	644	2578	9638	1964	8980	1914	10418	258	1972	262	36	34	16	198	350	1196	10934	52	1854	438	9052	1916	3064	36	606	138	4420	84	312	398	16	224	148	26	2400	58	490	28	418	20	26	0	2	28	56	98	806	2	22	3558	26356	3742	24880	144	5494	322	5094	0	0	2	10	16	872	20	26	10	1704	30	54	14	8	10	18	54	16	40	10	12	106	8	0	18	24	38	44	10	2	294	58	18	16	30	28	20	292	
407792	sub-C013_preop3T_AAL_2201	18074	32	47540	8432	2124	538	0	6	4910	120	5632	0	18674	6	3088	4	264	2	1504	218	16	2	12328	7474	10	136	0	12	9218	0	546	1156	406	262	276	104	454	160	174	40	50	70	2106	86	456	74	3666	74	1120	32	1994	0	850	0	1124	22	3096	6	1076	12	3250	2	224	2	4036	4	582	112	238	8	2348	326	17260	386	1716	82	4066	252	4	2	272	4	886	4	3188	2	680	2	1452	2	196	36	92	30	440	40	164	26	340	42	42	6	146	50	218	18	36	6	130	68	86	98	160	106	34	38	
173656	sub-C013_preop3T_AAL_2202	0	10166	214	26924	10	872	6	0	10	2064	0	7878	0	11358	0	1318	0	34	216	986	0	0	104	464	0	10	0	0	2	140	0	0	6	2	80	104	18	40	6	12	0	0	140	540	16	352	6	360	10	278	12	58	6	58	4	90	4	1586	4	1160	0	5266	0	2250	0	4780	22	252	26	0	156	358	74	2578	26	142	264	296	0	4	0	98	0	2	0	1244	0	14	0	884	16	8	12	6	48	16	10	8	18	20	6	0	12	12	16	6	2	4	26	18	6	22	22	18	10	22	
