data	data	276444	305816	844188	881744	585744	427476	521768	436680	424376	158856	144804	145376	296356	233940	352716	162412	87524	72408	381272	256104	167492	139652	388216	305820	311848	247080	244920	158424	196812	182472	304400	361104	171844	229552	408840	478552	548280	611780	245000	298240	176624	322864	612452	759204	418244	560884	419180	448776	484632	334604	314024	135692	173996	90028	350748	349108	222052	215896	279760	220392	138272	142288	82052	158864	98544	95764	680148	705772	177948	73328	323380	402704	992452	771412	354632	292928	626588	591164	35300	46320	155744	207344	205592	226456	354836	229896	275968	207632	231372	205664	479436	403164	358652	290548	85104	56088	353492	143148	492596	457140	348200	98404	385252	300364	188440	194824	224732	176044	112880	46668	130256	217440	265744	247932	158216	109076	
data	data	sub-C015_preop3T_AAL_2001	sub-C015_preop3T_AAL_2002	sub-C015_preop3T_AAL_2101	sub-C015_preop3T_AAL_2102	sub-C015_preop3T_AAL_2111	sub-C015_preop3T_AAL_2112	sub-C015_preop3T_AAL_2201	sub-C015_preop3T_AAL_2202	sub-C015_preop3T_AAL_2211	sub-C015_preop3T_AAL_2212	sub-C015_preop3T_AAL_2301	sub-C015_preop3T_AAL_2302	sub-C015_preop3T_AAL_2311	sub-C015_preop3T_AAL_2312	sub-C015_preop3T_AAL_2321	sub-C015_preop3T_AAL_2322	sub-C015_preop3T_AAL_2331	sub-C015_preop3T_AAL_2332	sub-C015_preop3T_AAL_2401	sub-C015_preop3T_AAL_2402	sub-C015_preop3T_AAL_2501	sub-C015_preop3T_AAL_2502	sub-C015_preop3T_AAL_2601	sub-C015_preop3T_AAL_2602	sub-C015_preop3T_AAL_2611	sub-C015_preop3T_AAL_2612	sub-C015_preop3T_AAL_2701	sub-C015_preop3T_AAL_2702	sub-C015_preop3T_AAL_3001	sub-C015_preop3T_AAL_3002	sub-C015_preop3T_AAL_4001	sub-C015_preop3T_AAL_4002	sub-C015_preop3T_AAL_4011	sub-C015_preop3T_AAL_4012	sub-C015_preop3T_AAL_4021	sub-C015_preop3T_AAL_4022	sub-C015_preop3T_AAL_4101	sub-C015_preop3T_AAL_4102	sub-C015_preop3T_AAL_4111	sub-C015_preop3T_AAL_4112	sub-C015_preop3T_AAL_4201	sub-C015_preop3T_AAL_4202	sub-C015_preop3T_AAL_5001	sub-C015_preop3T_AAL_5002	sub-C015_preop3T_AAL_5011	sub-C015_preop3T_AAL_5012	sub-C015_preop3T_AAL_5021	sub-C015_preop3T_AAL_5022	sub-C015_preop3T_AAL_5101	sub-C015_preop3T_AAL_5102	sub-C015_preop3T_AAL_5201	sub-C015_preop3T_AAL_5202	sub-C015_preop3T_AAL_5301	sub-C015_preop3T_AAL_5302	sub-C015_preop3T_AAL_5401	sub-C015_preop3T_AAL_5402	sub-C015_preop3T_AAL_6001	sub-C015_preop3T_AAL_6002	sub-C015_preop3T_AAL_6101	sub-C015_preop3T_AAL_6102	sub-C015_preop3T_AAL_6201	sub-C015_preop3T_AAL_6202	sub-C015_preop3T_AAL_6211	sub-C015_preop3T_AAL_6212	sub-C015_preop3T_AAL_6221	sub-C015_preop3T_AAL_6222	sub-C015_preop3T_AAL_6301	sub-C015_preop3T_AAL_6302	sub-C015_preop3T_AAL_6401	sub-C015_preop3T_AAL_6402	sub-C015_preop3T_AAL_7001	sub-C015_preop3T_AAL_7002	sub-C015_preop3T_AAL_7011	sub-C015_preop3T_AAL_7012	sub-C015_preop3T_AAL_7021	sub-C015_preop3T_AAL_7022	sub-C015_preop3T_AAL_7101	sub-C015_preop3T_AAL_7102	sub-C015_preop3T_AAL_8101	sub-C015_preop3T_AAL_8102	sub-C015_preop3T_AAL_8111	sub-C015_preop3T_AAL_8112	sub-C015_preop3T_AAL_8121	sub-C015_preop3T_AAL_8122	sub-C015_preop3T_AAL_8201	sub-C015_preop3T_AAL_8202	sub-C015_preop3T_AAL_8211	sub-C015_preop3T_AAL_8212	sub-C015_preop3T_AAL_8301	sub-C015_preop3T_AAL_8302	sub-C015_preop3T_AAL_9001	sub-C015_preop3T_AAL_9002	sub-C015_preop3T_AAL_9011	sub-C015_preop3T_AAL_9012	sub-C015_preop3T_AAL_9021	sub-C015_preop3T_AAL_9022	sub-C015_preop3T_AAL_9031	sub-C015_preop3T_AAL_9032	sub-C015_preop3T_AAL_9041	sub-C015_preop3T_AAL_9042	sub-C015_preop3T_AAL_9051	sub-C015_preop3T_AAL_9052	sub-C015_preop3T_AAL_9061	sub-C015_preop3T_AAL_9062	sub-C015_preop3T_AAL_9071	sub-C015_preop3T_AAL_9072	sub-C015_preop3T_AAL_9081	sub-C015_preop3T_AAL_9082	sub-C015_preop3T_AAL_9100	sub-C015_preop3T_AAL_9110	sub-C015_preop3T_AAL_9120	sub-C015_preop3T_AAL_9130	sub-C015_preop3T_AAL_9140	sub-C015_preop3T_AAL_9150	sub-C015_preop3T_AAL_9160	sub-C015_preop3T_AAL_9170	
276444	sub-C015_preop3T_AAL_2001	0	4624	11786	2086	20	0	11988	2506	54	2	13584	16	3050	6	114	0	8632	0	8362	2460	4	0	54	16	6	0	2	0	964	0	0	2	14	200	0	0	2186	24	54	20	10	22	8	12	26	12	24	8	60	2	62	0	32	0	20	10	21438	64	166	12	4022	20	3546	10	924	8	68	6	10654	20	90	56	3926	202	3220	214	7202	332	116	0	1148	0	374	4	3124	0	54	16	1834	8	280	134	172	60	190	8	258	56	274	96	100	18	66	22	28	10	58	14	6	4	94	64	128	44	4	12	
305816	sub-C015_preop3T_AAL_2002	4624	0	474	16214	24	36	182	18486	24	30	18	10494	38	2092	20	6	0	2776	3606	4610	62	6	48	64	12	6	62	14	4	64	16	8	658	206	58	16	346	498	52	12	8	22	54	12	16	10	66	16	26	4	18	2	8	0	48	28	1938	23764	46	1538	40	5348	28	4904	18	702	1218	46	7876	6422	606	1300	592	3268	504	3462	1200	13602	2	2	0	4	0	8	26	32	4	16	26	36	166	1182	152	976	52	200	256	480	262	1268	116	52	100	114	42	416	86	68	160	80	482	182	388	60	32	654	
844188	sub-C015_preop3T_AAL_2101	11786	474	0	34112	8916	3804	59844	9648	7386	44	10130	400	9690	904	1954	70	3304	28	44474	8084	262	148	39228	14252	5508	3648	138	88	3386	18	15646	19450	2738	2452	1342	574	3856	236	590	74	316	184	1736	122	1056	62	1972	132	2016	22	1572	0	906	0	878	42	1150	116	2024	142	500	112	208	26	320	126	3310	838	3620	28	1970	520	26414	3038	10972	1754	12134	2872	180	2	766	6	1026	30	1674	104	1166	68	1008	138	686	226	404	98	256	34	234	44	464	152	198	48	174	84	172	56	142	44	38	4	66	62	196	82	24	42	
881744	sub-C015_preop3T_AAL_2102	2086	16214	34112	0	2214	6630	18238	49934	1478	2292	106	12166	996	13880	418	2012	14	2178	15682	30958	160	82	17904	39920	1428	2416	324	34	68	938	14258	24216	2400	9244	544	2348	522	2366	98	672	104	2072	852	2442	688	614	188	2686	272	326	106	58	54	48	64	510	766	1164	290	1358	6	688	2	1372	10	392	1658	5640	4738	270	798	9816	1918	22376	924	11338	1706	19730	12	82	22	928	30	196	62	1198	124	196	36	1010	434	746	360	546	54	42	294	54	338	736	276	42	144	318	50	852	134	110	348	50	96	94	260	154	276	574	
585744	sub-C015_preop3T_AAL_2111	20	24	8916	2214	0	8510	1516	842	28552	848	24	0	184	36	20398	378	18	0	32	8	5116	2866	8686	1230	22988	7332	19754	3026	4096	44	4984	4800	1036	92	740	1002	7826	7588	1752	1106	4180	3562	4270	2536	1074	1066	8878	1992	2252	204	2614	0	1732	0	4440	252	236	6	1054	14	26	2	6	6	38	0	1564	2544	10	12	7342	1072	29756	3778	5344	96	4218	1074	24	4	248	48	3514	592	3406	18	5810	648	1004	78	522	36	94	18	230	8	38	18	272	28	10	4	26	8	116	24	12	4	50	6	14	14	46	6	10	30	
427476	sub-C015_preop3T_AAL_2112	0	36	3804	6630	8510	0	354	1668	1320	14050	12	0	84	36	706	5148	2	2	10	24	1918	2024	4180	2532	6774	18512	2456	9064	8	1412	3698	5668	270	354	528	806	2096	9694	390	4464	532	9322	1572	4656	960	2182	586	5112	242	452	76	76	12	284	126	2470	48	582	56	496	0	108	0	80	0	108	546	1214	14	24	2432	14334	2282	21974	182	5768	932	5076	4	0	6	330	94	3492	16	402	278	2822	16	210	18	234	18	192	14	8	24	4	22	298	16	26	22	134	10	280	6	28	140	16	0	18	60	46	108	166	
521768	sub-C015_preop3T_AAL_2201	11988	182	59844	18238	1516	354	0	7524	9284	52	3618	298	30294	826	4524	94	326	10	1984	332	46	22	15476	8440	968	238	72	22	2688	12	2498	6710	124	686	276	412	2228	298	450	44	556	172	1190	106	560	48	1256	88	1868	24	1598	0	890	0	796	46	1640	88	1372	130	842	82	266	24	586	90	1244	554	128	60	3738	728	18824	2030	5296	732	9898	2378	154	0	502	2	724	34	1548	88	1738	74	768	124	340	196	198	80	166	50	112	28	182	140	92	12	68	30	104	62	54	18	36	2	28	26	76	26	26	50	
436680	sub-C015_preop3T_AAL_2202	2506	18486	9648	49934	842	1668	7524	0	852	3842	48	10546	534	26998	190	2974	2	580	2254	354	62	38	6150	6208	238	202	108	32	54	198	1136	1928	218	138	298	358	320	1124	30	138	62	1158	704	1734	126	528	138	1698	204	246	78	38	40	60	40	456	1446	4888	216	1116	10	1738	4	1562	10	806	294	798	556	58	626	8198	1100	10014	486	3414	1644	7466	18	34	26	730	34	94	80	1060	76	180	40	816	130	276	104	162	64	4	40	22	94	312	60	18	50	154	46	220	40	34	208	16	26	18	52	62	166	254	
